"CASE_ID","mc_killed","mc_injured","collision_severity","severe","accident_year","hours_since_midnight","season","rush_hour","late_night","day_of_week","intersection","state_hwy_ind","w_clear","w_cloudy","w_rainy","w_other","road_not_dry","road_condition_issue","lighting","type_of_collision","pcf_viol_category","mviw","alcohol_involved","truck_accident","pedestrian_accident","bicycle_accident"
5403165,"Y","N","Injury (Severe)","Y",2012,0.833333333333333,"Winter","N","Y","Su","N","Y","Y","N","N","N","N","N","Dark - No Street Lights","Hit Object","Unsafe Speed","Fixed Object","Y","N","N","N"
5403455,"Y","N","Injury (Severe)","Y",2012,12.9166666666667,"Winter","N","N","Sa","Y","N","Y","N","N","N","N","N","Daylight","Broadside","Pedestrian Violation","Other Motor Vehicle","N","N","N","N"
5403486,"Y","N","Injury (Severe)","Y",2012,14.5833333333333,"Winter","N","N","F","N","N","Y","N","N","N","N","N","Daylight","Broadside","Pedestrian Violation","Other Motor Vehicle","N","N","N","N"
5448310,"N","Y","Injury (Complaint of Pain)","N",2012,12.3333333333333,"Winter","N","N","Tu","N","N","Y","N","N","N","N","N","Daylight","Rear End","Wrong Side of Road","Other Motor Vehicle","N","Y","N","N"
5455831,"N","Y","PDO (property damage only)","N",2012,8,"Winter","AM","N","W","N","N","Y","N","N","N","N","N","Daylight","Broadside","Pedestrian Violation","Other Motor Vehicle","N","N","N","N"
5456036,"N","Y","PDO (property damage only)","N",2012,12.1666666666667,"Winter","N","N","Th","N","N","Y","N","N","N","N","N","Daylight","Broadside","Pedestrian Violation","Other Motor Vehicle","N","N","N","N"
5456916,"N","Y","PDO (property damage only)","N",2012,15.5833333333333,"Winter","PM","N","W","N","Y","Y","N","N","N","N","N","Daylight","Rear End","Wrong Side of Road","Other Motor Vehicle","N","N","N","N"
5457281,"N","Y","PDO (property damage only)","N",2012,14.6666666666667,"Winter","N","N","M","N","N","Y","N","N","N","N","N","Daylight","Sideswipe","Improper Turning","Motor Vehicle on Other Roadway","N","N","N","N"
5457290,"N","Y","Injury (Complaint of Pain)","N",2012,9.25,"Winter","N","N","Th","Y","N","Y","N","N","N","N","N","Daylight","Broadside","Pedestrian Right of Way","Other Motor Vehicle","N","N","N","N"
5457294,"N","Y","Injury (Complaint of Pain)","N",2012,18.25,"Winter","PM","N","Tu","Y","N","Y","N","N","N","N","N","Dark - Street Lights","Head-On","Lights","Other Motor Vehicle","N","N","N","N"
5457333,"N","Y","Injury (Complaint of Pain)","N",2012,2.25,"Winter","N","Y","W","N","N","Y","N","N","N","Y","N","Dark - Street Lights","Hit Object","Wrong Side of Road","Fixed Object","N","N","N","N"
5457665,"N","Y","Injury (Complaint of Pain)","N",2012,12.5833333333333,"Winter","N","N","W","N","N","Y","N","N","N","N","N","Daylight","Rear End","Improper Passing","Other Motor Vehicle","N","N","N","N"
5457701,"N","Y","Injury (Complaint of Pain)","N",2012,18,"Winter","PM","N","W","N","Y","Y","N","N","N","N","N","Dark - Street Lights","Broadside","Pedestrian Right of Way","Other Motor Vehicle","N","N","N","N"
5457763,"N","Y","Injury (Complaint of Pain)","N",2012,7.75,"Winter","AM","N","W","N","N","Y","N","N","N","N","N","Daylight","Other","Pedestrian Violation","Other Object","N","N","N","N"
